-2.491197, -0.680329
-2.912205, -0.951459
-3.335947, -1.278346
-3.713717, -1.664238
-4.013468, -2.089153
-4.261994, -2.532486
-4.522941, -2.983713
-4.740804, -3.472852
-4.804007, -3.974393
-4.771023, -4.509986
-4.518847, -5.011172
-4.124090, -5.336801
-3.710043, -5.642353
-3.248261, -5.862189
-2.738259, -5.987197
-2.236840, -5.985700
-1.744365, -5.855541
-1.329500, -5.558446
-0.989054, -5.118751
-0.791224, -4.650298
-0.714424, -4.141943
-0.765403, -3.629774
-0.865000, -3.110497
-1.051317, -2.642267
-1.340767, -2.171034
-1.643920, -1.656342
-1.830916, -1.144676

